"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ce test a pour but d'ouvrire une nouvelle fenêtre et maîtriser les checkBox / buton radio .","10281","Test automatisé Playwright","Automation Project","Mon May 19 08:42:30 UTC 2025","passed","Mon May 19 08:42:41 UTC 2025","New window","OrangeHrm","",""
"Ce test vérifie la connexion avec des identifiants valides via fixture LoginPage.","5673","Connexion avec identifiants valides","Automation Project","Mon Jun 02 07:27:30 UTC 2025","passed","Mon Jun 02 07:27:36 UTC 2025","Authentification","OrangeHrm","",""
"Ce test vérifie la connexion avec des identifiants valides.","7783","Connexion utilisateur valide","Automation Project","Mon Jun 02 07:27:20 UTC 2025","passed","Mon Jun 02 07:27:28 UTC 2025","Authentification","OrangeHrm","",""
"","9031","Login and add employees from Excel","","Mon Jun 02 07:24:18 UTC 2025","passed","Mon Jun 02 07:24:27 UTC 2025","","","",""
"","3754","Connexion rapide avec méthode loginToApplication()","","Mon Jun 02 07:27:36 UTC 2025","passed","Mon Jun 02 07:27:39 UTC 2025","Authentification OrangeHRM avec l'utilisation des Fixtures ","","",""
"Ce test est spécialement pour ajouter tous les employés via un fichier excel déjà rempli .","20545","Login and add all employees from file Excel","Automation Project","Mon Jun 02 07:24:27 UTC 2025","passed","Mon Jun 02 07:24:47 UTC 2025","Add Employees With excelFiles","OrangeHrm","",""
"Ce test est spécialement pour ajouter tous les employés via un fichier excel déjà rempli .","31061","Accéder sur le site et s'authentifier","Automation Project","Mon Jun 02 07:28:46 UTC 2025","broken","Mon Jun 02 07:29:17 UTC 2025","authentification & saisir les données dans la page pim","OrangeHrm","",""
"","10","Working with multiple browsers, contexts, and pages","","Mon Jun 02 07:24:48 UTC 2025","failed","Mon Jun 02 07:24:48 UTC 2025","","","",""
"","30074","Reusing authenticated context","","Mon Jun 02 07:25:51 UTC 2025","broken","Mon Jun 02 07:26:21 UTC 2025","","","",""
"","93","Change context","","Mon Jun 02 07:27:41 UTC 2025","failed","Mon Jun 02 07:27:41 UTC 2025","","","",""
"","638","get started link","","Mon Jun 02 07:27:14 UTC 2025","passed","Mon Jun 02 07:27:14 UTC 2025","","","",""
"","24790","has title","","Mon May 19 19:07:07 UTC 2025","passed","Mon May 19 19:07:31 UTC 2025","","","",""
"Ce test a pour but d'ouvrire une nouvelle fenêtre et maîtriser les checkBox / buton radio .","15801","Test automatisé Playwright","Automation Project","Mon Jun 02 07:26:57 UTC 2025","failed","Mon Jun 02 07:27:12 UTC 2025","New window","OrangeHrm","",""
"Ce test est Pour Gérer un nouvel onglet et revenir à la page principale .","5378","Gérer un nouvel onglet et revenir à la page principale","Automation Project","Mon Jun 02 07:27:14 UTC 2025","passed","Mon Jun 02 07:27:20 UTC 2025","Add Employees With excelFiles","OrangeHrm","",""
"Ce test est le premier aprés avoir initier le projet .","422","has title","Automation Project","Mon Jun 02 07:27:13 UTC 2025","passed","Mon Jun 02 07:27:14 UTC 2025","First test","playwright","",""
"","2471","The member logining","","Mon Jun 02 07:27:28 UTC 2025","passed","Mon Jun 02 07:27:30 UTC 2025","","","",""
